,Y,Pais,edad,genero,Antiguedad,nombre_estado,Tiene_creditos,Creditos,saldo_actual,saldo_vencido,mop_historico,numero_pagos_vencidos,Promedio de limite_credito,Promedio de credito_maximo,Promedio de cantidad_cuotas,Promedio de valor_cuota,ahorro_impacto,bienestar_financiero_impacto,coaching_impacto,gestion_de_gastos_impacto,score,perfil_usuario,sistema_operativo,Desinstalaciones,Tiene_ahorro,monto_ahorro,monto_bloqueado,monto_total,Tiene_seguros,Seguros,Activo_saldo_actual,Activo_saldo_vencido,%_Activo,Activos_pagos_vencidos,Activos_garantia,Autos_saldo_actual,Autos_saldo_vencido,%_Autos,Autos_pagos_vencidos,Autos_garantia,Comunicaciones_saldo_actual,Comunicaciones_saldo_vencido,%_comunicaciones,Comunicaciones_pagos_vencidos,Comunicaciones_garantia,Consumo_saldo_actual,Consumo_saldo_vencido,%_consumo,consumo_pagos_vencidos,consumo_garantia,Educacion_saldo_actual,Educacion_saldo_vencido,%_educuacion,Educacion_pagos_vencidos,Educacion_garantia,Libranza_saldo_actual,Libranza_saldo_vencido,%_libranza,Libranza_pagos_vencidos,Libranza_garantia,Microcredito_saldo_actual,Microcredito_saldo_vencido,%_microcredito,microcredito_pagos_vencidos,microcredito_garantia,Otros_saldo_actual,Otros_saldo_vencido,%_otro,Otros_pagos_vencidos,Otros_garantia,Tarjeta_credito_saldo_actual,Tarjeta_credito_saldo_vencido,%_tarjeta,Tarjeta_pagos_vencidos,Tarjeta_garantia,Vivienda_saldo_actual,Vivienda_saldo_vencido,%_vivienda,Vivienda_pagos_vencidos,Vivienda_garantia,Garantia
61,0,CO,27.0,MASCULINO,de 6 meses a 1 año,,1,36,2404000.0,880000.0,N,-10.0,,134638.0,1.25,22389.0,0.0,0.0,0.0,0.0,226.0,Bajo,,,0,0.0,0.0,0.0,0,0,,,,,,,,,,,838000.0,838000.0,0.348585690515807,1.0,1.0,1566000.0,42000.0,0.651414309484193,-11.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
65,0,CO,26.0,MASCULINO,Menos de 6 meses,,1,1,88000.0,88000.0,6,1.0,,88000.0,1.0,88000.0,0.0,0.0,0.0,0.0,1.0,Usuario en quiebra,,,0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,,,88000.0,88000.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
67,0,CO,31.0,MASCULINO,Menos de 6 meses,,1,4,569000.0,529000.0,N,,0.0,304500.0,5.5,83250.0,0.0,0.0,0.0,0.0,245.0,Bajo,,,0,0.0,0.0,0.0,0,0,,,,,,,,,,,131000.0,91000.0,0.230228471001757,,1.0,438000.0,438000.0,0.769771528998242,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
74,0,CO,29.0,FEMENINO,Menos de 6 meses,,1,23,2270000.0,2578000.0,N,,54261.0,580304.0,6.47,10261.0,0.0,0.0,0.0,0.0,,,,,0,0.0,0.0,0.0,0,0,,,,,,,,,,,0.0,0.0,0.0,,1.0,2270000.0,2578000.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,2.0
87,0,CO,38.0,MASCULINO,de 6 meses a 1 año,,1,2,197000.0,197000.0,6,0.0,,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,1.0,Usuario en quiebra,,,0,0.0,0.0,0.0,0,0,,,,,,,,,,,197000.0,197000.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
90,0,CO,25.0,FEMENINO,Menos de 6 meses,,1,3,478000.0,691000.0,N,2.0,,-1.0,0.33,140333.0,0.0,0.0,0.0,0.0,212.0,Bajo,ANDROID,1.0,0,0.0,0.0,0.0,0,0,,,,,,,,,,,86000.0,86000.0,0.179916317991631,0.0,1.0,,,,,,,,,,,,,,,,,,,,,392000.0,605000.0,0.820083682008368,2.0,1.0,,,,,,,,,,,2.0
100,0,CO,35.0,MASCULINO,Menos de 6 meses,,1,4,5251000.0,1304000.0,N,,0.0,1946250.0,24.0,124500.0,0.0,0.0,0.0,0.0,168.0,Bajo,,,0,0.0,0.0,0.0,0,0,,,,,,,,,,,414000.0,414000.0,0.0788421253094648,,1.0,4837000.0,890000.0,0.921157874690535,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
103,0,CO,20.0,MASCULINO,Menos de 6 meses,,1,2,104000.0,104000.0,N,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,377.0,Bajo,,,0,0.0,0.0,0.0,0,0,,,,,,,,,,,104000.0,104000.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
108,0,CO,45.0,MASCULINO,de 6 meses a 1 año,,1,6,6761000.0,6761000.0,,1.0,,2161000.0,0.33,2161000.0,0.0,0.0,0.0,0.0,1.0,Usuario en quiebra,,,0,0.0,0.0,0.0,0,0,,,,,,,,,,,278000.0,278000.0,0.0411181777843514,0.0,1.0,6483000.0,6483000.0,0.958881822215648,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
115,0,CO,24.0,FEMENINO,Menos de 6 meses,,1,9,3358000.0,357000.0,N,1.0,,683444.0,5.33,72000.0,0.0,0.0,0.0,0.0,325.0,Bajo,,,0,0.0,0.0,0.0,0,0,,,,,,,,,,,165000.0,165000.0,0.0491363907087552,0.0,1.0,3193000.0,192000.0,0.950863609291244,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
117,0,CO,28.0,MASCULINO,Menos de 6 meses,,1,1,39000.0,39000.0,4,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,Usuario en quiebra,,,0,0.0,0.0,0.0,0,0,,,,,,,,,,,39000.0,39000.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
119,0,CO,32.0,MASCULINO,Menos de 6 meses,,1,8,2072999.0,2072999.0,N,59.0,,96249.0,2.13,242875.0,0.0,0.0,0.0,0.0,209.0,Bajo,,,0,0.0,0.0,0.0,0,0,,,,,,,,,,,149999.0,149999.0,0.0723584526572371,35.0,1.0,1923000.0,1923000.0,0.927641547342762,24.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
120,0,CO,42.0,MASCULINO,Menos de 6 meses,,1,2,94000.0,94000.0,6,,0.0,18500.0,1.0,18500.0,0.0,0.0,0.0,0.0,1.0,Usuario en quiebra,,,0,0.0,0.0,0.0,0,0,,,,,,,,,,,57000.0,57000.0,0.606382978723404,,1.0,37000.0,37000.0,0.393617021276595,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
123,0,CO,31.0,MASCULINO,Menos de 6 meses,,1,6,2560000.0,687000.0,N,,566667.0,6667.0,,419500.0,0.0,0.0,0.0,0.0,433.0,Bajo,,,0,0.0,0.0,0.0,0,0,,,,,,,,,,,83000.0,0.0,0.032421875,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,2477000.0,687000.0,0.967578125,,,,,,,,1.0
127,0,CO,,FEMENINO,de 6 meses a 1 año,,1,8,136000.0,136000.0,6,0.0,,15999.0,-0.6,16000.0,0.0,0.0,0.0,0.0,281.0,Bajo,,,0,0.0,0.0,0.0,0,0,,,,,,,,,,,136000.0,136000.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,2.0
131,0,CO,,DESCONOCIDO,de 6 meses a 1 año,,1,9,251999.0,251999.0,N,1.0,,77777.0,0.11,35111.0,0.0,0.0,0.0,0.0,374.0,Bajo,ANDROID,1.0,0,0.0,0.0,0.0,0,0,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,251999.0,251999.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
136,0,CO,34.0,MASCULINO,Menos de 6 meses,,1,2,61000.0,61000.0,N,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,Usuario en quiebra,,,0,0.0,0.0,0.0,0,0,,,,,,,,,,,61000.0,61000.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
140,0,CO,36.0,MASCULINO,Menos de 6 meses,,1,3,51000.0,49000.0,N,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,Usuario en quiebra,,,0,0.0,0.0,0.0,0,0,,,,,,,,,,,51000.0,49000.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
149,0,CO,33.0,FEMENINO,Menos de 6 meses,,1,2,999000.0,999000.0,6,2.0,,228500.0,1.0,499500.0,0.0,0.0,0.0,0.0,1.0,Usuario en quiebra,ANDROID,1.0,0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,,,999000.0,999000.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
151,0,CO,38.0,MASCULINO,Menos de 6 meses,,1,13,442999.0,442999.0,N,80.0,,8666.0,-1.0,8666.0,0.0,0.0,0.0,0.0,218.0,Bajo,,,0,0.0,0.0,0.0,0,0,,,,,,,,,,,442999.0,442999.0,1.0,80.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
162,0,CO,23.0,MASCULINO,de 6 meses a 1 año,,1,2,281000.0,281000.0,N,6.0,,140500.0,3.5,48000.0,0.0,0.0,0.0,0.0,437.0,Bajo,ANDROID,1.0,0,0.0,0.0,0.0,0,0,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,281000.0,281000.0,1.0,6.0,1.0,,,,,,,,,,,,,,,,2.0
166,0,CO,23.0,MASCULINO,de 6 meses a 1 año,,1,4,328000.0,364000.0,N,927.0,,-1.0,9.0,62250.0,0.0,0.0,0.0,0.0,278.0,Bajo,ANDROID,1.0,0,0.0,0.0,0.0,0,0,,,,,,,,,,,115000.0,115000.0,0.35060975609756,0.0,1.0,213000.0,249000.0,0.649390243902439,927.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
167,0,CO,34.0,MASCULINO,Menos de 6 meses,,1,7,7898000.0,889000.0,N,,300714.0,734143.0,15.67,145429.0,0.0,0.0,0.0,0.0,355.0,Bajo,,,0,0.0,0.0,0.0,0,0,,,,,,,,,,,56000.0,56000.0,0.00709040263357812,,1.0,5139000.0,686000.0,0.650671055963535,,1.0,,,,,,,,,,,,,,,,,,,,,2703000.0,147000.0,0.342238541402886,,,,,,,,2.0
172,0,CO,26.0,FEMENINO,Menos de 6 meses,,1,3,2554000.0,2554000.0,N,10.0,,-1.0,5.0,127500.0,0.0,0.0,0.0,0.0,394.0,Bajo,ANDROID,1.0,0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,,,2554000.0,2554000.0,1.0,10.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,2.0
178,0,CO,56.0,MASCULINO,Menos de 6 meses,,1,6,90000.0,90000.0,N,,0.0,12833.0,,12833.0,0.0,0.0,0.0,0.0,445.0,Bajo,,,0,0.0,0.0,0.0,0,0,,,,,,,,,,,90000.0,90000.0,1.0,,1.0,0.0,0.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
184,0,CO,22.0,FEMENINO,Menos de 6 meses,,1,3,621000.0,1878000.0,6,,0.0,207000.0,5.5,64667.0,0.0,0.0,0.0,0.0,414.0,Bajo,,,0,0.0,0.0,0.0,0,0,,,,,,,,,,,0.0,0.0,0.0,,1.0,621000.0,1878000.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
188,0,CO,41.0,MASCULINO,de 6 meses a 1 año,,1,7,2277000.0,0.0,N,0.0,,1264571.0,14.29,19571.0,0.0,0.0,0.0,0.0,746.0,Medio,,,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,2277000.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
192,0,CO,27.0,FEMENINO,Menos de 6 meses,,1,1,-1.0,409000.0,6,45.0,,-1.0,-1.0,10000.0,0.0,0.0,0.0,0.0,358.0,Bajo,ANDROID,1.0,0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,,,-1.0,409000.0,1.0,45.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
204,0,CO,33.0,MASCULINO,Menos de 6 meses,,1,4,538000.0,538000.0,6,,75000.0,32500.0,,146250.0,0.0,0.0,0.0,0.0,375.0,Bajo,ANDROID,1.0,0,0.0,0.0,0.0,0,0,,,,,,,,,,,248000.0,248000.0,0.460966542750929,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,290000.0,290000.0,0.53903345724907,,,,,,,,1.0
205,0,CO,22.0,FEMENINO,Menos de 6 meses,,1,2,156000.0,291000.0,N,,0.0,0.0,1.0,78000.0,0.0,0.0,0.0,0.0,1.0,Usuario en quiebra,ANDROID,1.0,0,0.0,0.0,0.0,0,0,,,,,,,,,,,0.0,0.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,156000.0,291000.0,1.0,,1.0,,,,,,,,,,,2.0
207,0,CO,37.0,MASCULINO,Menos de 6 meses,,1,5,146000.0,99000.0,N,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,324.0,Bajo,,,0,0.0,0.0,0.0,0,0,,,,,,,,,,,146000.0,99000.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,1.0
213,0,CO,34.0,MASCULINO,Menos de 6 meses,,1,2,334000.0,334000.0,5,,0.0,0.0,4.5,34500.0,0.0,0.0,0.0,0.0,446.0,Bajo,ANDROID,1.0,0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,,,334000.0,334000.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
215,0,CO,24.0,FEMENINO,Menos de 6 meses,Caldas,1,25,22352000.0,0.0,N,0.0,2100000.0,977261.0,11.43,58040.0,0.0,0.0,0.0,0.0,683.0,Medio,ANDROID,1.0,0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,,,19006000.0,0.0,0.850304223335719,0.0,1.0,,,,,,,,,,,,,,,,,,,,,3346000.0,0.0,0.14969577666428,0.0,1.0,,,,,,2.0
221,0,CO,21.0,MASCULINO,Menos de 6 meses,,1,3,740000.0,712000.0,N,,0.0,241333.0,9.0,274333.0,0.0,0.0,0.0,0.0,150.0,Bajo,,,0,0.0,0.0,0.0,0,0,,,,,,,,,,,140000.0,140000.0,0.189189189189189,,1.0,600000.0,572000.0,0.81081081081081,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
238,0,CO,36.0,MASCULINO,Menos de 6 meses,,1,15,6980000.0,502000.0,N,36.0,,739500.0,11.0,37000.0,0.0,0.0,0.0,0.0,307.0,Bajo,ANDROID,1.0,0,0.0,0.0,0.0,0,0,,,,,,,,,,,117000.0,117000.0,0.0167621776504298,23.0,1.0,6863000.0,385000.0,0.98323782234957,13.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
246,0,CO,27.0,FEMENINO,Menos de 6 meses,,1,6,2739000.0,4268000.0,N,,0.0,1061500.0,15.5,460000.0,0.0,0.0,0.0,0.0,367.0,Bajo,,,0,0.0,0.0,0.0,0,0,,,,,,,,,,,0.0,0.0,0.0,,1.0,,,,,,,,,,,,,,,,2739000.0,4268000.0,1.0,,1.0,,,,,,,,,,,,,,,,2.0
250,0,CO,30.0,MASCULINO,Menos de 6 meses,,1,3,232000.0,232000.0,N,,0.0,338333.0,10.0,70667.0,0.0,0.0,0.0,0.0,238.0,Bajo,,,0,0.0,0.0,0.0,0,0,,,,,,,,,,,113000.0,113000.0,0.487068965517241,,1.0,119000.0,119000.0,0.512931034482758,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
253,0,CO,41.0,MASCULINO,Menos de 6 meses,,1,26,25623000.0,7214000.0,N,,57692.0,1474577.0,8.41,430885.0,0.0,0.0,0.0,0.0,209.0,Bajo,,,0,0.0,0.0,0.0,0,0,,,,,,,,,,,568000.0,568000.0,0.0221675838114194,,1.0,19413000.0,3001000.0,0.757639620653319,,1.0,,,,,,,,,,,,,,,,,,,,,5642000.0,3645000.0,0.220192795535261,,,,,,,,2.0
262,0,CO,42.0,MASCULINO,Menos de 6 meses,,1,3,153000.0,153000.0,N,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,Usuario en quiebra,ANDROID,1.0,0,0.0,0.0,0.0,0,0,,,,,,,,,,,153000.0,153000.0,1.0,,1.0,0.0,0.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
264,0,CO,26.0,MASCULINO,Menos de 6 meses,,1,9,3730999.0,3730999.0,N,54.0,,217777.0,3.0,77333.0,0.0,0.0,0.0,0.0,243.0,Bajo,,,0,0.0,0.0,0.0,0,0,,,,,,,,,,,1319000.0,1319000.0,0.353524619009546,38.0,1.0,2411999.0,2411999.0,0.646475380990453,16.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
268,0,CO,32.0,MASCULINO,Menos de 6 meses,,1,3,742000.0,742000.0,N,7.0,,342999.0,2.67,41000.0,0.0,0.0,0.0,0.0,1.0,Usuario en quiebra,ANDROID,1.0,0,0.0,0.0,0.0,0,0,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,742000.0,742000.0,1.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
274,0,CO,36.0,MASCULINO,Menos de 6 meses,,1,5,322000.0,322000.0,6,14.0,,64500.0,-1.0,64500.0,0.0,0.0,0.0,0.0,404.0,Bajo,ANDROID,2.0,0,0.0,0.0,0.0,0,0,,,,,,,,,,,322000.0,322000.0,1.0,14.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
278,1,CO,40.0,FEMENINO,Menos de 6 meses,,1,10,5532000.0,2075000.0,N,,850000.0,84400.0,1.0,623700.0,0.0,0.0,0.0,0.0,235.0,Bajo,,,0,0.0,0.0,0.0,0,0,,,,,,,,,,,154000.0,154000.0,0.0278380332610267,,1.0,645000.0,1162000.0,0.116594360086767,,1.0,,,,,,,,,,,,,,,,,,,,,4733000.0,759000.0,0.855567606652205,,,,,,,,2.0
279,0,CO,24.0,MASCULINO,Menos de 6 meses,,1,1,48000.0,48000.0,N,0.0,,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,1.0,Usuario en quiebra,ANDROID,1.0,0,0.0,0.0,0.0,0,0,,,,,,,,,,,48000.0,48000.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
281,0,CO,31.0,FEMENINO,Menos de 6 meses,,1,6,952000.0,1148000.0,N,,0.0,235333.0,8.17,158667.0,0.0,0.0,0.0,0.0,1.0,Usuario en quiebra,,,0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,,,747000.0,747000.0,0.784663865546218,,1.0,,,,,,,,,,,,,,,,205000.0,401000.0,0.215336134453781,,1.0,,,,,,,,,,,2.0
282,0,CO,35.0,MASCULINO,Menos de 6 meses,,1,2,833000.0,162000.0,N,,0.0,488500.0,4.5,116000.0,0.0,0.0,1.0,0.0,313.0,Bajo,,,0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,,,833000.0,162000.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
290,0,CO,27.0,FEMENINO,Menos de 6 meses,,1,3,11949000.0,10195000.0,2,,0.0,1500000.0,14.0,3203667.0,0.0,0.0,0.0,0.0,384.0,Bajo,,,0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,2630000.0,876000.0,0.220102100594192,,1.0,,,,,,,,,,,,,,,,9319000.0,9319000.0,0.779897899405808,,,,,,,,1.0
293,0,CO,31.0,MASCULINO,Menos de 6 meses,,1,9,12549999.0,-1.0,N,0.0,3080000.0,28500.0,-1.0,144667.0,0.0,0.0,0.0,0.0,788.0,Alto,ANDROID,1.0,0,0.0,0.0,0.0,0,0,,,,,,,,,,,-1.0,-1.0,-7.96812812495044e-08,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,12550000.0,0.0,1.00000007968128,0.0,1.0,,,,,,2.0
304,0,CO,19.0,FEMENINO,de 6 meses a 1 año,,1,3,200000.0,200000.0,,0.0,,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,Usuario en quiebra,ANDROID,1.0,0,0.0,0.0,0.0,0,0,,,,,,,,,,,200000.0,200000.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
314,0,CO,28.0,MASCULINO,Menos de 6 meses,,1,2,517000.0,517000.0,6,,0.0,161000.0,1.0,183000.0,0.0,0.0,0.0,0.0,1.0,Usuario en quiebra,,,0,0.0,0.0,0.0,0,0,,,,,,,,,,,195000.0,195000.0,0.377176015473887,,1.0,322000.0,322000.0,0.622823984526112,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
317,0,CO,23.0,FEMENINO,Menos de 6 meses,,1,5,5273000.0,1749000.0,N,,0.0,1219600.0,10.2,299800.0,0.0,0.0,0.0,0.0,462.0,Sin registro,,,0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,,,5273000.0,1749000.0,1.0,,1.0,,,,,,,,,,,0.0,0.0,0.0,,1.0,,,,,,,,,,,,,,,,2.0
