Creditos;saldo_actual;saldo_vencido;Promedio de limite_credito;Promedio de credito_maximo;Promedio de cantidad_cuotas;Promedio de valor_cuota;coaching_impacto;Comunicaciones_saldo_actual;Comunicaciones_pagos_vencidos;Consumo_saldo_actual;perfil_usuario_Alto;perfil_usuario_Joven;perfil_usuario_Sin registro
1;29757000;0.0;0.0;30000000.0;60;894000.0;0;0.0;0;29757000.0;1;0;0
5;61257000;0.0;0.0;13604600.0;88;316800.0;0;0.0;0;36320000.0;1;0;0
1;12521000;0.0;0.0;12521000.0;48;391000.0;0;0.0;0;12521000.0;0;0;0
2;47304000;0.0;0.0;23972000.0;150;121000.0;0;0.0;0;14354000.0;0;0;1
1;5828000;0.0;0.0;7133000.0;48;363000.0;0;0.0;0;5828000.0;0;0;1
1;5840000;0.0;6200000.0;0.0;3;1551000.0;0;0.0;0;0.0;1;0;0
1;7424000;0.0;0.0;7900000.0;36;280000.0;0;0.0;0;7424000.0;1;0;0
1;5044000;6148000.0;0.0;3600000.0;2;5044000.0;0;0.0;0;5044000.0;0;0;1
1;15412000;0.0;0.0;15640000.0;72;246000.0;0;0.0;0;15412000.0;1;0;0
1;26588000;0.0;0.0;30000000.0;48;818000.0;0;0.0;0;26588000.0;1;0;0
1;8810000;0.0;9900000.0;0.0;3;1475000.0;0;0.0;0;0.0;0;0;1
1;8083000;0.0;0.0;8200000.0;48;248000.0;0;0.0;0;8083000.0;0;0;1
1;18875000;0.0;0.0;19140000.0;144;410000.0;0;0.0;0;18875000.0;1;0;0
3;24379000;0.0;0.0;9618333.33333333;16;949000.0;0;0.0;0;13443000.0;0;0;0
1;6083000;687000.0;0.0;5717000.0;72;153000.0;0;0.0;0;6083000.0;0;0;1
5;158801000;0.0;0.0;34822600.0;31;2382800.0;0;0.0;0;118078000.0;0;0;1
1;8096000;0.0;0.0;12000000.0;60;289000.0;0;0.0;0;8096000.0;0;0;0
2;85810000;0.0;5000000.0;80500000.0;360;288500.0;0;0.0;0;0.0;0;0;0
1;7121000;0.0;0.0;8113000.0;36;315000.0;0;0.0;0;0.0;0;0;1
1;7208000;0.0;0.0;7208000.0;36;200000.0;0;0.0;0;0.0;0;0;0
1;5258000;0.0;7400000.0;0.0;3;213000.0;0;0.0;0;0.0;1;0;0
1;18663000;0.0;0.0;20000000.0;72;445000.0;0;0.0;0;18663000.0;0;0;0
1;69393000;0.0;0.0;72500000.0;101;1257000.0;0;0.0;0;69393000.0;0;0;0
1;6289000;0.0;0.0;10000000.0;34;369000.0;0;0.0;0;6289000.0;0;0;1
1;19631000;0.0;0.0;20000000.0;60;550000.0;0;0.0;0;19631000.0;1;0;0
1;9875000;0.0;0.0;9800000.0;60;297000.0;0;0.0;0;9875000.0;0;0;0
1;5419000;0.0;0.0;6458000.0;44;146000.0;0;0.0;0;5419000.0;1;0;0
1;9081000;0.0;0.0;0.0;9;126000.0;0;0.0;0;0.0;1;0;0
3;34747000;0.0;0.0;14169333.3333333;68;337333.333333333;0;0.0;0;34747000.0;1;0;0
1;7903000;0.0;0.0;10000000.0;48;262000.0;0;0.0;0;7903000.0;0;0;1
1;6490000;1689000.0;0.0;5957000.0;48;195000.0;0;0.0;0;0.0;0;0;0
1;12897000;0.0;0.0;13161000.0;48;283000.0;0;0.0;0;0.0;0;0;0
1;8952000;0.0;0.0;8000000.0;18;599000.0;0;0.0;0;8952000.0;0;0;0
2;10759000;0.0;7550000.0;6000000.0;134;207500.0;0;0.0;0;4733000.0;0;0;0
4;88475000;1122000.0;2387000.0;29042666.6666666;68;734000.0;0;0.0;0;61150000.0;0;0;0
1;8121000;0.0;0.0;9042000.0;48;449000.0;0;0.0;0;8121000.0;0;0;0
1;5764000;0.0;0.0;5764000.0;61;162000.0;0;0.0;0;0.0;0;0;0
1;5899000;0.0;0.0;0.0;72;127000.0;0;0.0;0;0.0;0;0;1
3;37755000;9256000.0;0.0;14289666.6666666;55;364666.666666666;0;0.0;0;31713000.0;0;0;1
1;18138000;0.0;0.0;18097000.0;60;572000.0;0;0.0;0;18138000.0;1;0;0
1;5633000;0.0;0.0;5200000.0;60;156000.0;0;0.0;0;5633000.0;1;0;0
1;4887000;0.0;0.0;5800000.0;108;0.0;0;0.0;0;4887000.0;1;0;0
1;9206000;376000.0;0.0;22776000.0;207;277000.0;0;0.0;0;0.0;0;0;0
2;83321000;0.0;0.0;42844500.0;66;1222000.0;0;0.0;0;5642000.0;1;0;0
2;67840000;53094000.0;0.0;35547000.0;96;26707000.0;0;0.0;0;67840000.0;0;0;0
1;6111000;0.0;0.0;6177000.0;36;215000.0;0;0.0;0;6111000.0;0;0;1
1;20664000;0.0;0.0;0.0;0;0.0;0;0.0;0;0.0;0;0;1
4;75357000;0.0;1550000.0;18962500.0;44;740750.0;0;0.0;0;64014000.0;0;0;0
1;9999000;0.0;10000000.0;0.0;3;235000.0;0;0.0;0;0.0;0;0;1
1;30355000;0.0;0.0;31841000.0;120;342000.0;0;0.0;0;0.0;1;0;0
3;163159000;0.0;2983333.33333333;61163333.3333333;90;1092000.0;0;0.0;0;132519000.0;0;0;1
1;65219000;0.0;0.0;66443000.0;180;628000.0;0;0.0;0;0.0;1;0;0
1;10180000;10180000.0;0.0;0.0;1;10180000.0;0;0.0;0;10180000.0;0;0;1
1;41935000;0.0;0.0;0.0;34;247000.0;0;0.0;0;0.0;0;0;0
2;50140000;2547000.0;0.0;26749500.0;100;431000.0;0;0.0;0;5804000.0;0;0;0
1;30010000;0.0;0.0;43871000.0;72;815000.0;0;0.0;0;0.0;0;0;1
1;8185000;0.0;0.0;8185000.0;24;341000.0;0;0.0;0;0.0;0;0;1
1;4803000;0.0;0.0;4803000.0;24;309000.0;0;0.0;0;0.0;0;0;1
3;25515000;0.0;13400000.0;20000000.0;72;971666.666666666;0;0.0;0;12662000.0;1;0;0
1;20398000;2002000.0;0.0;20000000.0;60;531000.0;0;0.0;0;20398000.0;0;0;1
1;10984000;0.0;0.0;11800000.0;48;390000.0;0;0.0;0;10984000.0;1;0;0
1;43169000;0.0;0.0;44500000.0;88;792000.0;0;0.0;0;0.0;0;0;0
2;12152000;0.0;0.0;6400000.0;42;267500.0;0;0.0;0;12152000.0;1;0;0
3;15956000;888000.0;1456000.0;4290000.0;42;450000.0;0;0.0;0;5231000.0;0;0;0
1;37587000;0.0;0.0;0.0;14;169000.0;0;0.0;0;0.0;1;0;0
3;59828000;2134000.0;0.0;22666666.6666666;138;364666.666666666;0;0.0;0;27028000.0;0;0;1
1;22581000;0.0;0.0;25768000.0;108;298000.0;0;0.0;0;0.0;0;0;1
1;13452000;0.0;0.0;15796000.0;120;260000.0;0;0.0;0;13452000.0;0;0;1
1;5287000;0.0;4700000.0;0.0;3;245000.0;0;0.0;0;0.0;1;0;0
1;5575000;140000.0;0.0;6000000.0;60;150000.0;0;0.0;0;5575000.0;0;0;0
4;70944000;0.0;10000000.0;56750000.0;55;1087500.0;0;0.0;0;58268000.0;1;0;0
3;17437000;0.0;4500000.0;6241000.0;66;224000.0;0;0.0;0;12760000.0;0;0;0
2;19471000;4450000.0;0.0;10625000.0;60;261000.0;0;0.0;0;19471000.0;0;0;0
1;50220000;0.0;0.0;53417000.0;120;816000.0;0;0.0;0;50220000.0;1;0;0
1;4952000;0.0;0.0;5319000.0;36;214000.0;0;0.0;0;4952000.0;0;0;1
1;8425000;0.0;0.0;10390000.0;97;166000.0;0;0.0;0;8425000.0;1;0;0
1;16450000;0.0;0.0;18989000.0;120;257000.0;0;0.0;0;16450000.0;0;0;0
2;11547000;0.0;0.0;6000000.0;27;354000.0;0;0.0;0;5867000.0;0;0;1
1;5249000;0.0;5700000.0;0.0;3;489000.0;0;0.0;0;0.0;1;0;0
1;27162000;0.0;0.0;32000000.0;55;843000.0;0;0.0;0;27162000.0;1;0;0
3;30634000;0.0;2066666.66666666;8253333.33333333;39;622000.0;0;0.0;0;24801000.0;0;0;1
2;17544000;0.0;0.0;10289500.0;72;210000.0;0;0.0;0;17544000.0;0;0;1
5;118542000;0.0;7943200.0;34000000.0;152;792600.0;0;0.0;0;0.0;0;0;0
1;5676000;0.0;0.0;7564000.0;180;251000.0;0;0.0;0;5676000.0;0;0;1
3;58982000;24165000.0;0.0;20581000.0;80;400666.666666666;0;0.0;0;58982000.0;0;0;0
1;49360000;0.0;0.0;55000000.0;60;1574000.0;0;0.0;0;0.0;1;0;0
1;19383000;0.0;0.0;20000000.0;60;628000.0;0;0.0;0;19383000.0;0;0;1
1;8367000;0.0;0.0;9500000.0;60;236000.0;0;0.0;0;8367000.0;1;0;0
1;67793000;0.0;0.0;68000000.0;120;1220000.0;0;0.0;0;67793000.0;0;0;1
3;17939000;0.0;7350000.0;10000000.0;36;298333.333333333;0;0.0;0;5637000.0;0;0;0
1;22337000;0.0;0.0;0.0;9;234000.0;0;0.0;0;0.0;1;0;0
1;7086000;0.0;0.0;7332000.0;72;190000.0;0;0.0;0;0.0;0;0;1
1;8701000;0.0;0.0;10209000.0;24;637000.0;0;0.0;0;8701000.0;0;0;0
1;20690000;0.0;0.0;22884000.0;95;413000.0;0;0.0;0;20690000.0;1;0;0
1;22900000;0.0;0.0;22900000.0;119;324000.0;0;0.0;0;22900000.0;0;0;0
2;23474000;0.0;3675000.0;13800000.0;62;595500.0;0;0.0;0;18381000.0;1;0;0
1;11024000;0.0;0.0;14000000.0;60;399000.0;0;0.0;0;11024000.0;1;0;0
1;9856000;0.0;0.0;10186000.0;72;271000.0;0;0.0;0;0.0;0;0;1
1;5550000;0.0;0.0;6842000.0;13;1184000.0;0;0.0;0;0.0;0;0;0
1;5000000;0.0;0.0;5000000.0;24;261000.0;0;0.0;0;5000000.0;1;0;0
1;8334000;3501000.0;4100000.0;0.0;3;8334000.0;0;0.0;0;0.0;0;0;1
1;58115000;0.0;0.0;0.0;0;0.0;0;0.0;0;0.0;0;0;0
1;58146000;0.0;0.0;61430000.0;162;667000.0;0;0.0;0;0.0;1;0;0
1;18095000;0.0;0.0;18157000.0;60;517000.0;0;0.0;0;18095000.0;0;0;0
2;10285000;0.0;5000000.0;8300000.0;28;400000.0;0;0.0;0;0.0;1;0;0
2;129107000;0.0;0.0;70500000.0;171;868500.0;0;0.0;0;0.0;0;0;0
1;10464000;0.0;0.0;0.0;0;0.0;0;0.0;0;0.0;1;0;0
2;16628000;0.0;5000000.0;8338000.0;47;769500.0;0;0.0;0;10357000.0;1;0;0
1;19575000;0.0;0.0;0.0;0;0.0;0;0.0;0;0.0;0;0;0
3;44533000;0.0;2433333.33333333;13382666.6666666;42;454000.0;0;0.0;0;37716000.0;1;0;0
2;56712000;22489000.0;0.0;32326000.0;152;623500.0;0;0.0;0;22357000.0;0;0;1
1;30915000;0.0;0.0;31600000.0;114;587000.0;0;0.0;0;30915000.0;0;0;1
1;9364000;2134000.0;0.0;9567000.0;53;256000.0;0;0.0;0;9364000.0;0;0;0
1;8806000;0.0;0.0;10261000.0;12;1066000.0;0;0.0;0;0.0;0;0;1
1;14273000;0.0;14500000.0;0.0;3;1274000.0;0;0.0;0;0.0;0;0;1
1;6714000;0.0;0.0;7250000.0;36;400000.0;0;0.0;0;0.0;0;0;1
2;69885000;0.0;0.0;49400000.0;114;654500.0;0;0.0;0;4833000.0;0;0;1
1;7123000;7123000.0;0.0;0.0;30;266000.0;0;0.0;0;0.0;0;0;0
1;9176000;0.0;0.0;10000000.0;60;221000.0;0;0.0;0;0.0;0;0;0
2;164744000;0.0;25000000.0;75000000.0;180;2795000.0;0;0.0;0;0.0;0;0;1
2;61594000;0.0;0.0;31174000.0;149;486000.0;0;0.0;0;19773000.0;1;0;0
3;36654000;0.0;0.0;14333000.0;58;406000.0;0;0.0;0;36654000.0;0;0;1
1;21994000;0.0;0.0;22185000.0;59;655000.0;0;0.0;0;21994000.0;1;0;0
3;128776000;4578000.0;0.0;41999000.0;152;503000.0;0;0.0;0;45328000.0;0;0;0
3;159848000;131429000.0;0.0;19243666.6666666;33;34558666.666666605;0;0.0;0;133110000.0;0;0;1
2;15249000;0.0;0.0;8600000.0;90;188500.0;0;0.0;0;6484000.0;0;0;1
1;13693000;0.0;0.0;23498000.0;60;657000.0;0;0.0;0;0.0;0;0;0
1;6659000;0.0;0.0;7000000.0;60;0.0;0;0.0;0;6659000.0;1;0;0
2;23759000;0.0;0.0;13546000.0;60;378500.0;0;0.0;0;23759000.0;1;0;0
1;7182000;7182000.0;0.0;10561000.0;12;880000.0;0;0.0;0;7182000.0;0;0;0
2;29552000;0.0;5000000.0;15117500.0;24;2500000.0;0;0.0;0;24525000.0;0;0;1
2;10877000;0.0;6600000.0;12147000.0;0;362000.0;0;0.0;0;5959000.0;1;0;0
1;8844000;8844000.0;0.0;9050000.0;60;244000.0;0;0.0;0;8844000.0;0;0;0
5;75143000;3406000.0;0.0;15169600.0;71;380600.0;0;0.0;0;75143000.0;0;0;0
1;11605000;0.0;0.0;0.0;0;0.0;0;0.0;0;0.0;0;0;0
2;12527000;0.0;0.0;7600000.0;34;267000.0;0;0.0;0;12527000.0;0;0;1
1;8314000;8314000.0;0.0;8314000.0;1;8314000.0;0;0.0;0;8314000.0;0;0;0
2;20078000;0.0;0.0;10169000.0;66;245500.0;0;0.0;0;20078000.0;0;0;1
1;23386000;0.0;0.0;25000000.0;83;582000.0;0;0.0;0;23386000.0;1;0;0
1;4674000;0.0;4350000.0;0.0;3;1001000.0;0;0.0;0;0.0;0;0;1
1;6718000;0.0;7300000.0;0.0;3;240000.0;0;0.0;0;0.0;0;0;1
1;5617000;0.0;0.0;10000000.0;24;666000.0;0;0.0;0;0.0;0;0;0
1;5344000;0.0;0.0;0.0;48;257000.0;0;0.0;0;0.0;1;0;0
1;21760000;0.0;21800000.0;0.0;3;1227000.0;0;0.0;0;0.0;1;0;0
1;16730000;0.0;0.0;18000000.0;72;397000.0;0;0.0;0;0.0;1;0;0
2;22420000;0.0;0.0;16037500.0;85;352500.0;1;0.0;0;22420000.0;1;0;0
1;90000000;0.0;0.0;90000000.0;60;2478000.0;0;0.0;0;90000000.0;0;0;1
1;7466000;0.0;0.0;0.0;10;87000.0;0;0.0;0;0.0;0;0;1
1;13571000;0.0;0.0;15700000.0;60;364000.0;0;0.0;0;13571000.0;1;0;0
3;142352000;70510000.0;0.0;49860666.666666605;120;459000.0;0;0.0;0;4753000.0;0;0;1
2;54081000;0.0;6000000.0;86929000.0;82;1467000.0;0;0.0;0;0.0;0;0;1
1;21623000;0.0;0.0;29384000.0;96;268000.0;0;0.0;0;0.0;1;0;0
1;6046000;0.0;0.0;6300000.0;30;333000.0;0;0.0;0;0.0;0;0;0
1;15345000;0.0;0.0;0.0;30;133000.0;0;0.0;0;0.0;0;0;0
1;94183000;0.0;0.0;94323000.0;240;855000.0;0;0.0;0;0.0;0;0;1
1;6447000;0.0;0.0;0.0;0;0.0;0;0.0;0;0.0;1;0;0
1;7070000;7070000.0;0.0;4473000.0;1;7070000.0;0;0.0;0;7070000.0;0;0;1
1;13670000;0.0;11500000.0;0.0;3;3351000.0;0;0.0;0;0.0;1;0;0
1;47470000;14583000.0;0.0;45655000.0;360;465000.0;0;0.0;0;0.0;0;0;0
1;6180000;0.0;0.0;6760000.0;348;82000.0;0;0.0;0;6180000.0;0;0;0
2;57692000;0.0;4819500.0;25302000.0;180;270500.0;0;0.0;0;0.0;1;0;0
1;5125000;0.0;0.0;5217000.0;24;266000.0;0;0.0;0;5125000.0;0;0;1
1;26102000;0.0;0.0;0.0;0;0.0;0;0.0;0;0.0;1;0;0
1;26267000;0.0;0.0;36000000.0;30;1649000.0;0;0.0;0;26267000.0;1;0;0
1;40435000;0.0;0.0;0.0;10;582000.0;0;0.0;0;0.0;0;0;1
1;37105000;0.0;0.0;0.0;0;0.0;0;0.0;0;0.0;0;0;0
1;8650000;0.0;0.0;0.0;3;352000.0;0;0.0;0;0.0;0;0;0
4;27313000;0.0;1225000.0;6920250.0;64;272500.0;0;0.0;0;22806000.0;0;0;1
3;70741000;0.0;7700000.0;36003500.0;57;474000.0;0;0.0;0;63513000.0;1;0;0
1;35619000;0.0;0.0;55000000.0;60;1346000.0;0;0.0;0;35619000.0;0;0;0
1;21874000;0.0;0.0;23162000.0;130;372000.0;0;0.0;0;21874000.0;0;0;1
1;33042000;1900000.0;0.0;40444000.0;84;884000.0;0;0.0;0;33042000.0;0;0;1
1;6004000;0.0;0.0;7615000.0;60;175000.0;0;0.0;0;6004000.0;0;0;0
1;5420000;0.0;0.0;5706000.0;40;142000.0;0;0.0;0;5420000.0;1;0;0
1;6258000;1705000.0;0.0;8600000.0;48;277000.0;0;0.0;0;6258000.0;0;0;0
1;65750000;0.0;0.0;65000000.0;96;1440000.0;0;0.0;0;65750000.0;0;0;1
1;4844000;0.0;0.0;5000000.0;36;237000.0;0;0.0;0;0.0;0;0;1
1;30425000;0.0;0.0;32577000.0;242;274000.0;0;0.0;0;0.0;1;0;0
1;20736000;0.0;0.0;22500000.0;68;463000.0;0;0.0;0;20736000.0;0;0;1
6;117662000;0.0;3033333.33333333;16007000.0;134;330166.666666666;0;0.0;0;44746000.0;0;0;1
1;31840000;0.0;0.0;31692000.0;60;972000.0;0;0.0;0;31840000.0;0;0;1
4;51828000;0.0;0.0;17169500.0;39;521750.0;0;0.0;0;51828000.0;1;0;0
2;14636000;0.0;0.0;11243000.0;55;305000.0;0;0.0;0;14636000.0;1;0;0
1;7829000;0.0;0.0;7500000.0;60;244000.0;0;0.0;0;7829000.0;0;0;0
1;65191000;0.0;0.0;66000000.0;60;1100000.0;0;0.0;0;65191000.0;1;0;0
1;25752000;0.0;0.0;33800000.0;84;656000.0;0;0.0;0;0.0;0;0;0
1;6792000;6179000.0;0.0;20400000.0;60;561000.0;0;0.0;0;6792000.0;0;0;0
3;21136000;0.0;8100000.0;9000000.0;30;512666.666666666;0;0.0;0;15277000.0;1;0;0
1;4961000;0.0;6800000.0;0.0;3;191000.0;0;0.0;0;0.0;1;0;0
1;107080000;0.0;0.0;0.0;0;0.0;0;0.0;0;0.0;0;0;1
2;12788000;0.0;6750000.0;0.0;3;402500.0;0;0.0;0;0.0;0;0;0
1;8371000;0.0;0.0;10700000.0;36;515000.0;0;0.0;0;0.0;0;0;0
2;28951000;0.0;0.0;14658000.0;72;205000.0;0;0.0;0;9599000.0;0;0;1
1;5685000;13584000.0;0.0;5685000.0;1;5685000.0;0;0.0;0;5685000.0;0;0;1
1;4700000;0.0;0.0;4700000.0;60;117000.0;0;0.0;0;4700000.0;1;0;0
5;169643000;0.0;1600000.0;34510000.0;76;697000.0;0;0.0;0;162104000.0;1;0;0
1;9121000;0.0;0.0;10000000.0;36;398000.0;0;0.0;0;9121000.0;0;0;1
1;31846000;0.0;0.0;50000000.0;180;579000.0;0;0.0;0;0.0;0;0;0
1;10529000;1009000.0;0.0;10109000.0;72;314000.0;0;0.0;0;10529000.0;0;0;0
1;5505000;0.0;0.0;6000000.0;24;446000.0;0;0.0;0;0.0;0;0;0
1;96965000;0.0;0.0;102978000.0;120;1336000.0;0;0.0;0;0.0;0;0;1
1;5000000;3526000.0;0.0;5000000.0;24;274000.0;0;0.0;0;5000000.0;0;0;0
2;16252000;0.0;0.0;8276000.0;44;194500.0;0;0.0;0;16252000.0;0;0;0
1;26893000;0.0;0.0;25749000.0;180;280000.0;0;0.0;0;0.0;0;0;0
1;41517000;0.0;0.0;41835000.0;120;348000.0;0;0.0;0;0.0;1;0;0
2;46289000;0.0;0.0;27088000.0;72;669000.0;0;0.0;0;39600000.0;1;0;0
2;11826000;0.0;3220000.0;2503500.0;36;196500.0;0;0.0;0;4923000.0;1;0;0
1;4699000;2725000.0;0.0;4719000.0;50;145000.0;0;0.0;0;4699000.0;0;0;1
2;69694000;0.0;0.0;39521000.0;79;738000.0;0;0.0;0;69694000.0;0;0;1
2;19268000;0.0;0.0;10000000.0;60;270000.0;0;0.0;0;19268000.0;0;0;1
1;22510000;0.0;0.0;30184000.0;117;395000.0;0;0.0;0;0.0;0;0;0
1;5107000;0.0;0.0;5100000.0;60;157000.0;0;0.0;0;5107000.0;0;0;1
1;42284000;0.0;0.0;42700000.0;60;1195000.0;0;0.0;0;0.0;0;0;0
2;34483000;3782000.0;0.0;18709500.0;83;336500.0;0;0.0;0;27615000.0;0;0;0
3;24475000;0.0;1800000.0;6520000.0;48;692333.333333333;0;0.0;0;18816000.0;0;0;1
1;12278000;0.0;0.0;12800000.0;60;395000.0;0;0.0;0;0.0;1;0;0
1;5249000;0.0;0.0;5300000.0;0;180000.0;0;0.0;0;5249000.0;1;0;0
2;144183000;0.0;0.0;46000999.5;55;997500.0;0;0.0;0;81650000.0;0;0;0
4;36297000;0.0;2790000.0;7702250.0;60;168000.0;0;0.0;0;28826000.0;1;0;0
1;6492000;6492000.0;0.0;4968000.0;1;6492000.0;0;0.0;0;6492000.0;0;0;0
3;35780000;0.0;0.0;14779666.6666666;56;327666.666666666;0;0.0;0;18977000.0;0;0;1
1;5603000;0.0;0.0;5600000.0;72;0.0;0;0.0;0;5603000.0;0;0;1
3;110276000;0.0;10500000.0;60350000.0;60;1339333.33333333;0;0.0;0;99550000.0;1;0;0
1;6087000;0.0;0.0;6900000.0;60;219000.0;0;0.0;0;6087000.0;1;0;0
3;41964000;0.0;0.0;16606333.3333333;44;595000.0;0;0.0;0;0.0;1;0;0
1;6092000;16341000.0;0.0;6092000.0;2;16341000.0;0;0.0;0;6092000.0;0;0;1
2;536690008;0.0;0.0;270000000.0;156;2630500.0;0;0.0;0;37807000.0;1;0;0
2;64611000;0.0;0.0;34296000.0;68;727500.0;0;0.0;0;64611000.0;1;0;0
